ori_name,emo_1,emo_2,emo_3,wav_id,slice1,slice2
PB_DanceCover0822_slice06_slice1.wav,PB,PB,PB,0822,slice06,slice1.wav
PB_LE_DanceCover0164_slice02_slice1.wav,PB,LE,PB,0164,slice02,slice1.wav
PB_CF_DanceCover0275_slice04_slice0.wav,PB,CF,PB,0275,slice04,slice0.wav
PB_DanceCover0850_slice07_slice1.wav,PB,PB,PB,0850,slice07,slice1.wav
PB_LE_DanceCover0155_slice06_slice0.wav,PB,LE,PB,0155,slice06,slice0.wav
HQ_DanceCover0446_slice02_slice0.wav,HQ,HQ,HQ,0446,slice02,slice0.wav
PB_DanceCover0387_slice07_slice0.wav,PB,PB,PB,0387,slice07,slice0.wav
PB_CF_DanceCover0359_slice03_slice0.wav,PB,CF,PB,0359,slice03,slice0.wav
PB_LE_DanceCover0368_slice01_slice1.wav,PB,LE,PB,0368,slice01,slice1.wav
PB_HQ_DanceCover0318_slice08_slice0.wav,PB,HQ,PB,0318,slice08,slice0.wav
LE_DanceCover0459_slice03_slice0.wav,LE,LE,LE,0459,slice03,slice0.wav
PB_DanceCover0301_slice08_slice1.wav,PB,PB,PB,0301,slice08,slice1.wav
PB_DanceCover0729_slice07_slice0.wav,PB,PB,PB,0729,slice07,slice0.wav
PB_IT_DanceCover0770_slice06_slice0.wav,PB,IT,PB,0770,slice06,slice0.wav
CF_LE_DanceCover0093_slice02_slice1.wav,CF,LE,CF,0093,slice02,slice1.wav
LE_DanceCover0459_slice03_slice1.wav,LE,LE,LE,0459,slice03,slice1.wav
CF_DanceCover0263_slice06_slice0.wav,CF,CF,CF,0263,slice06,slice0.wav
PB_DanceCover0850_slice03_slice1.wav,PB,PB,PB,0850,slice03,slice1.wav
PB_LE_DanceCover0505_slice01_slice1.wav,PB,LE,PB,0505,slice01,slice1.wav
PB_DanceCover0387_slice09_slice1.wav,PB,PB,PB,0387,slice09,slice1.wav
IT_DanceCover0322_slice02_slice1.wav,IT,IT,IT,0322,slice02,slice1.wav
PB_DanceCover0301_slice11_slice1.wav,PB,PB,PB,0301,slice11,slice1.wav
PB_DanceCover0850_slice02_slice0.wav,PB,PB,PB,0850,slice02,slice0.wav
PB_CF_DanceCover0146_slice02_slice1.wav,PB,CF,PB,0146,slice02,slice1.wav
PB_IT_DanceCover0308_slice03_slice0.wav,PB,IT,PB,0308,slice03,slice0.wav
PB_CF_DanceCover0149_slice02_slice0.wav,PB,CF,PB,0149,slice02,slice0.wav
PB_HQ_DanceCover0433_slice07_slice0.wav,PB,HQ,PB,0433,slice07,slice0.wav
CF_DanceCover0356_slice09_slice0.wav,CF,CF,CF,0356,slice09,slice0.wav
LE_DanceCover0255_slice10_slice1.wav,LE,LE,LE,0255,slice10,slice1.wav
CF_DanceCover0488_slice04_slice1.wav,CF,CF,CF,0488,slice04,slice1.wav
PB_DanceCover0365_slice11_slice0.wav,PB,PB,PB,0365,slice11,slice0.wav
PB_DanceCover0365_slice03_slice1.wav,PB,PB,PB,0365,slice03,slice1.wav
CF_DanceCover0356_slice06_slice0.wav,CF,CF,CF,0356,slice06,slice0.wav
PB_LE_DanceCover0032_slice01_slice1.wav,PB,LE,PB,0032,slice01,slice1.wav
PB_LE_DanceCover0527_slice02_slice1.wav,PB,LE,PB,0527,slice02,slice1.wav
LE_DanceCover0342_slice01_slice0.wav,LE,LE,LE,0342,slice01,slice0.wav
PB_DanceCover0397_slice04_slice0.wav,PB,PB,PB,0397,slice04,slice0.wav
CF_DanceCover0356_slice13_slice0.wav,CF,CF,CF,0356,slice13,slice0.wav
PB_LE_DanceCover0204_slice05_slice1.wav,PB,LE,PB,0204,slice05,slice1.wav
PB_IT_DanceCover0287_slice02_slice1.wav,PB,IT,PB,0287,slice02,slice1.wav
PB_CF_DanceCover0401_slice05_slice0.wav,PB,CF,PB,0401,slice05,slice0.wav
PB_DanceCover0866_slice08_slice1.wav,PB,PB,PB,0866,slice08,slice1.wav
CF_DanceCover0406_slice02_slice0.wav,CF,CF,CF,0406,slice02,slice0.wav
PB_LE_DanceCover0527_slice01_slice1.wav,PB,LE,PB,0527,slice01,slice1.wav
PB_HQ_DanceCover0230_slice02_slice0.wav,PB,HQ,PB,0230,slice02,slice0.wav
PB_CF_DanceCover0405_slice03_slice1.wav,PB,CF,PB,0405,slice03,slice1.wav
IT_DanceCover0362_slice03_slice0.wav,IT,IT,IT,0362,slice03,slice0.wav
CF_DanceCover0263_slice09_slice1.wav,CF,CF,CF,0263,slice09,slice1.wav
CF_LE_DanceCover0039_slice01_slice1.wav,CF,LE,CF,0039,slice01,slice1.wav
PB_DanceCover0863_slice10_slice0.wav,PB,PB,PB,0863,slice10,slice0.wav
PB_DanceCover0301_slice03_slice0.wav,PB,PB,PB,0301,slice03,slice0.wav
PB_DanceCover0407_slice06_slice0.wav,PB,PB,PB,0407,slice06,slice0.wav
CF_DanceCover0783_slice08_slice1.wav,CF,CF,CF,0783,slice08,slice1.wav
PB_HQ_DanceCover0107_slice04_slice0.wav,PB,HQ,PB,0107,slice04,slice0.wav
